timestamp_s,read_mib_s
433.1331,3121.4
433.1583,3358.2
433.1836,3302.0
433.2088,3594.0
433.2340,2797.8
433.2592,3002.4
433.2844,232.4
433.3097,3439.2
433.3349,3346.6
433.3601,3454.3
433.3853,3257.6
433.4105,3129.7
433.4358,3498.5
433.4610,3141.9
433.4862,3338.4
433.5114,3366.1
433.5366,3304.2
433.5619,3263.1
433.5871,3258.3
433.6123,3413.9
433.6376,362.3
433.6628,3622.6
433.6885,3099.6
433.7137,3511.0
433.7389,3368.7
433.7641,3581.4
433.7893,3384.8
433.8146,3339.7
433.8398,3598.3
433.8653,3006.6
433.8906,3544.2
433.9158,3223.2
433.9410,3272.0
433.9663,3505.4
433.9915,3319.7
434.0171,324.9
434.0423,3568.3
434.0677,3457.6
434.0930,2726.9
434.1182,2745.2
434.1435,3317.3
434.1687,2894.6
434.1939,3306.2
434.2191,3056.7
434.2444,3285.8
434.2696,2323.6
434.2958,3217.3
434.3211,707.5
434.3463,3627.7
434.3715,3467.9
434.3967,3418.1
434.4219,3660.9
434.4471,3486.4
434.4724,3370.4
434.4975,3676.6
434.5227,3422.6
434.5480,3419.4
434.5732,3057.5
434.5984,3204.9
434.6237,3412.2
434.6489,3409.9
434.6741,3551.8
434.6993,735.8
434.7245,3198.1
434.7498,3704.6
434.7750,3414.0
434.8002,2945.1
434.8254,3161.8
434.8507,3707.1
434.8759,3380.0
434.9011,3287.1
434.9264,3194.6
434.9516,3249.0
434.9768,3230.7
435.0020,3065.0
435.0279,980.9
435.0532,2513.5
435.0784,3227.6
435.1036,3284.6
435.1289,3496.6
435.1541,3365.3
435.1793,3288.5
435.2045,3206.1
435.2298,3278.5
435.2550,2924.3
435.2802,3406.0
435.3055,3242.6
435.3307,3413.6
435.3559,610.0
435.3812,3050.6
435.4064,3389.8
435.4316,3395.7
435.4568,3178.7
435.4821,3407.9
435.5073,3127.1
435.5325,3376.8
435.5578,3512.6
435.5830,3176.1
435.6082,3149.5
435.6334,3357.1
435.6587,2456.8
435.6850,2128.7
435.7102,1800.5
435.7355,3071.9
435.7607,3309.1
435.7859,3463.1
435.8112,3203.8
435.8366,3363.3
435.8618,3515.1
435.8870,3310.2
435.9122,3490.4
435.9374,3375.5
435.9626,3451.9
435.9879,3446.0
436.0131,3333.1
436.0391,3171.3
436.0643,691.1
436.0895,3374.7
436.1147,3358.4
436.1401,3389.9
436.1653,3557.2
436.1905,3393.4
436.2157,3634.3
436.2409,3284.4
436.2661,3368.8
436.2914,3330.3
436.3166,3286.8
436.3418,3631.7
436.3671,3286.2
436.3923,3428.5
436.4175,3358.0
436.4441,579.8
436.4694,3599.6
436.4946,3388.5
436.5198,3194.0
436.5449,3446.2
436.5702,3606.6
436.5954,3356.3
436.6206,3438.2
436.6458,3202.3
436.6711,3363.2
436.6963,3336.5
436.7215,3248.2
436.7467,3088.7
436.7720,3319.8
436.7982,1532.8
436.8234,2418.2
436.8487,3603.8
436.8739,3545.4
436.8991,3520.0
436.9243,3352.1
436.9495,3459.1
436.9747,3793.7
436.9999,3300.5
437.0252,3383.0
437.0505,3448.8
437.0757,3461.9
437.1010,3366.1
437.1262,3583.5
437.1514,2679.7
437.1766,3627.8
437.2020,759.1
437.2272,3158.9
437.2525,3659.1
437.2777,3357.3
437.3031,3463.7
437.3283,3582.0
437.3535,3442.5
437.3787,3621.6
437.4039,3388.3
437.4292,3619.1
437.4544,3355.5
437.4796,3650.0
437.5049,3396.3
437.5301,3511.5
437.5553,3505.9
437.5805,2580.0
437.6068,3107.5
437.6320,852.8
437.6572,3646.0
437.6824,3421.8
437.7076,3415.1
437.7328,3687.9
437.7581,3334.1
437.7833,3630.4
437.8085,3492.6
437.8337,3509.6
437.8589,3289.5
437.8847,3338.5
437.9099,3516.2
437.9351,3346.5
437.9604,3583.0
437.9856,3482.2
438.0108,3618.6
438.0366,299.8
438.0618,3709.0
438.0870,3426.8
438.1123,3418.2
438.1375,3565.0
438.1627,3603.9
438.1879,3356.3
438.2131,3742.3
438.2384,3365.6
438.2636,3502.3
438.2888,3434.8
438.3140,3445.2
438.3392,3650.3
438.3644,3464.8
438.3896,3462.6
438.4149,3427.6
438.4412,1086.1
438.4664,2656.5
438.4916,3490.1
438.5168,3334.0
438.5421,3278.6
438.5673,3514.1
438.5925,3337.4
438.6177,3316.6
438.6430,3576.5
438.6682,3155.8
438.6934,3353.3
438.7186,3535.6
438.7438,3369.2
438.7690,3648.1
438.7943,2085.0
438.8204,3590.7
438.8456,403.1
438.8709,3318.1
438.8961,3278.8
438.9213,3795.5
438.9465,3283.4
438.9717,3784.2
438.9970,3400.1
439.0222,3219.2
439.0474,3423.9
439.0727,3365.6
439.0979,3338.8
439.1231,3603.4
439.1484,3423.4
439.1736,3575.1
439.1989,3503.8
439.2246,2965.5
439.2498,963.7
439.2750,3637.9
439.3002,3482.2
439.3255,3488.0
439.3507,3588.8
439.3759,3325.9
439.4011,3370.4
439.4264,3459.9
439.4516,3378.3
439.4768,3447.6
439.5020,3292.0
439.5272,3330.7
439.5524,3042.9
439.5778,3288.4
439.6034,3277.1
439.6287,335.0
439.6539,3655.7
439.6791,3446.7
439.7044,3507.1
439.7297,3523.7
439.7549,3342.1
439.7802,3263.9
439.8057,3443.8
439.8309,2940.4
439.8561,3077.3
439.8813,3245.2
439.9065,3248.9
439.9317,2764.6
439.9571,3152.5
439.9834,1169.4
440.0086,2765.7
440.0344,3014.3
440.0596,3037.2
440.0849,3409.3
440.1101,3349.6
440.1353,3204.9
440.1607,3418.5
440.1859,3386.3
440.2111,3498.5
440.2363,3550.3
440.2615,3152.2
440.2868,3493.5
440.3132,3147.1
440.3384,733.9
440.3636,3548.9
440.3888,3392.8
440.4140,3441.6
440.4392,3472.1
440.4645,3427.1
440.4896,3248.2
440.5149,3259.4
440.5401,3471.1
440.5653,3336.5
440.5905,3357.2
440.6158,3335.6
440.6409,3644.5
440.6662,3449.4
440.6914,3341.9
440.7175,1021.4
440.7427,2773.1
440.7680,3607.6
440.7932,3391.1
440.8184,3465.8
440.8436,3550.7
440.8689,3294.1
440.8941,2942.2
440.9196,2894.9
440.9448,3212.9
440.9700,3477.9
440.9952,3447.3
441.0204,3237.9
441.0457,3461.1
441.0719,1642.5
441.0972,2232.0
441.1224,3426.7
441.1476,3668.7
441.1728,3179.6
441.1980,3497.0
441.2232,3260.8
441.2485,3448.4
441.2737,3098.4
441.2989,3372.9
441.3241,3084.0
441.3494,3376.0
441.3746,3391.7
441.3998,2656.7
441.4261,2586.7
441.4513,1369.9
441.4765,3321.2
441.5018,3280.4
441.5270,3608.7
441.5522,3448.8
441.5774,3492.3
441.6026,3703.5
441.6279,3234.5
441.6531,3290.8
441.6785,3311.9
441.7038,3604.7
441.7290,3191.3
441.7542,3332.6
441.7795,3499.8
441.8051,1626.9
441.8303,2100.0
441.8558,3325.3
441.8810,3705.4
441.9063,3336.1
441.9315,3526.8
441.9567,3309.0
441.9819,3210.1
442.0074,3703.8
442.0326,3461.3
442.0579,3257.2
442.0831,3379.5
442.1083,3370.6
442.1335,2733.3
442.1593,3033.8
442.1846,982.1
442.2098,3454.0
442.2350,3630.1
442.2603,3559.7
442.2855,3764.4
442.3107,3331.2
442.3360,3384.0
442.3612,3259.4
442.3865,3252.5
442.4117,3473.7
442.4369,3132.0
442.4622,3423.4
442.4874,3583.3
442.5126,3453.0
442.5387,3003.8
442.5639,1070.4
442.5891,3388.9
442.6143,3638.5
442.6396,2965.2
442.6648,3454.5
442.6900,3123.6
442.7152,3391.7
442.7404,3166.3
442.7657,3164.2
442.7909,3261.0
442.8161,3359.2
442.8413,3147.7
442.8673,2269.8
442.8925,1442.1
442.9178,3202.9
442.9430,3180.8
442.9682,3395.5
442.9938,3010.6
443.0189,3747.4
443.0442,2723.9
443.0694,3613.1
443.0949,3244.7
443.1201,3483.0
443.1456,3083.7
443.1708,3021.4
443.1970,1524.0
443.2223,2505.8
443.2475,3004.9
443.2727,3612.1
443.2980,2933.4
443.3232,3252.9
443.3484,3255.8
443.3736,2791.2
443.3993,3434.1
443.4245,3224.4
443.4497,3385.7
443.4749,2659.8
443.5001,3070.8
443.5266,432.9
443.5518,3538.8
443.5770,3377.3
443.6022,3318.5
443.6274,3660.5
443.6526,3258.3
443.6779,3205.2
443.7031,2799.3
443.7284,3229.2
443.7536,3220.0
443.7788,3343.3
443.8044,3211.9
443.8296,3462.6
443.8549,3472.1
443.8811,1630.8
443.9064,2561.4
443.9316,3567.4
443.9568,3302.6
443.9821,3371.6
444.0073,3368.0
444.0325,3858.1
444.0577,3276.1
444.0829,3150.5
444.1081,3000.2
444.1333,3413.5
444.1587,3295.1
444.1839,3367.6
444.2091,3171.2
444.2355,759.8
444.2607,2372.8
444.2860,3298.8
444.3112,2687.5
444.3365,3039.7
444.3617,2740.4
444.3869,3130.4
444.4121,3064.5
444.4374,2807.3
444.4626,2937.7
444.4878,3376.4
444.5131,2867.0
444.5387,2524.4
444.5639,1587.3
444.5892,3453.4
444.6144,3380.6
444.6397,3683.3
444.6649,3436.9
444.6902,3391.2
444.7154,3550.1
444.7407,3207.6
444.7659,3382.9
444.7911,3360.2
444.8163,3459.0
444.8415,3384.1
444.8668,3586.1
444.8920,2477.7
444.9173,2339.5
444.9434,2180.6
444.9687,2056.4
444.9939,3550.7
445.0191,3467.7
445.0444,3715.6
445.0696,3465.2
445.0948,3676.2
445.1201,3408.1
445.1453,3494.5
445.1705,3555.1
445.1957,3348.5
445.2210,3613.3
445.2462,3419.8
445.2714,3532.7
445.2966,3439.9
445.3218,3429.6
445.3471,457.3
445.3723,3452.4
445.3975,3518.3
445.4227,3528.3
445.4479,3498.6
445.4735,3430.2
445.4988,3255.8
445.5240,3438.2
445.5492,3360.5
445.5744,3068.8
445.5996,3382.3
445.6248,3271.9
445.6500,3599.4
445.6752,2055.1
445.7005,3048.3
445.7267,1233.0
445.7520,2538.6
445.7772,3532.4
445.8024,3544.3
445.8276,3361.5
445.8528,3640.3
445.8780,3447.8
445.9032,3221.3
445.9284,3279.4
445.9536,3230.9
445.9792,3271.9
446.0044,3473.4
446.0296,3401.4
446.0549,3602.8
446.0801,3143.8
446.1057,784.3
446.1309,3247.3
446.1562,3358.0
446.1814,3332.7
446.2066,3676.5
446.2319,3411.5
446.2570,3498.2
446.2822,3477.7
446.3074,3138.1
446.3326,3119.7
446.3579,3521.2
446.3831,3399.4
446.4083,3319.4
446.4335,3072.2
446.4587,3449.7
446.4839,513.6
446.5091,3338.3
446.5344,3447.4
446.5598,3592.6
446.5850,3376.7
446.6102,3539.5
446.6354,3152.6
446.6606,3316.6
446.6859,3215.2
446.7111,3060.9
446.7363,3290.1
446.7616,3442.6
446.7868,3240.0
446.8120,2593.5
446.8377,2708.5
446.8629,1408.7
446.8882,3426.0
446.9134,3202.0
446.9385,2722.5
446.9638,3304.4
446.9890,3151.2
447.0145,3210.1
447.0397,3455.1
447.0649,3005.4
447.0901,3233.5
447.1153,3535.6
447.1406,3472.1
447.1662,2757.9
447.1914,1121.4
447.2166,3235.1
447.2419,3504.4
447.2671,3023.7
447.2923,3424.9
447.3175,3283.5
447.3427,2780.7
447.3680,2810.1
447.3933,3090.2
447.4185,3051.5
447.4437,2967.0
447.4699,2258.6
447.4951,1163.1
447.5203,3360.4
447.5457,3294.2
447.5709,3622.9
447.5962,3311.9
447.6214,3335.7
447.6466,3398.9
447.6719,3228.8
447.6972,3355.9
447.7225,3197.5
447.7476,3228.4
447.7728,3317.9
447.7980,3395.8
447.8244,1808.4
447.8500,1833.1
447.8752,3089.1
447.9007,2307.8
447.9260,3334.8
447.9512,2428.0
447.9764,3468.6
448.0024,2963.0
448.0276,3116.8
448.0532,3461.7
448.0784,3483.9
448.1047,2667.8
448.1310,1043.4
448.1562,3217.4
448.1814,3441.7
448.2067,3697.5
448.2319,3484.9
448.2571,3632.3
448.2823,3367.1
448.3075,3488.2
448.3327,3127.0
448.3580,3190.9
448.3832,3466.1
448.4084,3059.4
448.4337,3373.8
448.4589,3598.4
448.4841,3520.7
448.5103,1409.6
448.5355,2440.9
448.5607,3656.3
448.5860,3545.4
448.6112,3390.3
448.6364,3339.6
448.6617,2841.0
448.6869,2895.1
448.7121,3483.8
448.7374,3113.3
448.7626,3222.4
448.7878,3434.7
448.8131,3316.2
448.8383,2522.8
448.8645,1262.2
448.8898,2868.4
448.9150,2983.9
448.9402,3413.8
448.9655,3018.5
448.9907,3360.7
449.0160,3427.1
449.0412,2720.4
449.0664,3390.3
449.0916,3421.9
449.1170,3497.7
449.1423,3445.9
449.1675,3472.2
449.1927,3647.4
449.2183,360.3
449.2435,3333.2
449.2687,3573.9
449.2940,3298.3
449.3192,3401.9
449.3444,3034.9
449.3697,2527.2
449.3949,3236.9
449.4201,2736.3
449.4453,3601.0
449.4705,2895.2
449.4969,2512.0
449.5221,803.2
449.5473,3260.7
449.5725,3240.6
449.5978,2849.7
449.6229,3311.4
449.6482,3290.3
449.6734,3203.2
449.6986,3273.5
449.7239,3236.8
449.7491,3530.9
449.7744,3360.3
449.7996,3456.0
449.8249,2761.8
449.8512,3456.3
449.8764,491.6
449.9021,3507.7
449.9273,3679.2
449.9526,3432.9
449.9778,3722.0
450.0030,3315.1
450.0282,3221.3
450.0534,3233.7
450.0787,3415.3
450.1039,3410.1
450.1295,3487.1
450.1548,3493.9
450.1800,3406.3
450.2052,3627.3
450.2304,3467.6
450.2566,812.2
450.2818,3316.0
450.3070,3458.4
450.3323,3640.9
450.3575,3426.2
450.3833,3471.8
450.4085,3490.6
450.4337,3250.2
450.4590,3614.7
450.4842,3143.1
450.5094,3236.5
450.5346,3128.3
450.5598,3416.4
450.5851,3307.7
450.6103,2612.0
450.6366,1450.6
450.6620,2403.3
450.6872,3521.8
450.7124,3400.9
450.7376,3493.0
450.7629,3359.8
450.7881,3635.5
450.8133,3387.3
450.8386,3028.5
450.8638,3366.6
450.8890,3337.1
450.9142,3270.4
450.9394,3332.4
450.9646,3688.6
450.9898,3461.8
451.0160,846.4
451.0413,2750.1
451.0665,3141.0
451.0917,3053.0
451.1170,3402.1
451.1422,3484.5
451.1674,3424.3
451.1926,3553.0
451.2179,3086.2
451.2431,3506.8
451.2683,3321.8
451.2935,3384.4
451.3188,3312.5
451.3440,3374.8
451.3697,2249.7
451.3949,1614.4
451.4202,3375.3
451.4454,3285.5
451.4706,3355.8
451.4958,3466.3
451.5212,2774.3
451.5464,3041.5
451.5716,2728.9
451.5969,3214.7
451.6221,2778.6
451.6473,3202.6
451.6725,420.2
451.6978,3562.7
451.7230,3301.5
451.7483,3256.0
451.7735,3025.7
451.7987,3389.0
451.8240,3507.3
451.8492,3298.9
451.8744,3408.9
451.8997,3379.0
451.9249,3215.2
451.9501,3314.0
451.9754,3306.4
452.0016,1629.4
452.0269,2111.2
452.0521,3389.1
452.0774,2954.7
452.1026,3367.6
452.1279,3445.8
452.1533,3114.5
452.1786,3155.1
452.2038,3713.0
452.2290,2907.5
452.2542,3651.2
452.2795,3255.5
452.3047,3412.6
452.3304,1032.4
452.3557,2392.3
452.3809,2847.0
452.4061,3226.5
452.4314,2888.8
452.4566,3142.8
452.4818,3040.3
452.5070,2909.4
452.5323,3346.9
452.5575,2988.1
452.5827,3226.7
452.6079,2345.2
452.6335,2259.9
452.6587,1642.0
452.6840,3405.0
452.7092,3456.2
452.7344,3169.0
452.7597,3405.3
452.7849,3263.2
452.8101,3621.3
452.8353,3189.5
452.8605,3143.7
452.8863,3332.5
452.9115,3215.2
452.9367,3340.2
452.9620,2889.4
452.9880,2019.1
453.0132,1634.4
453.0385,3427.5
453.0637,3411.4
453.0889,3548.5
453.1141,3615.5
453.1393,3345.6
453.1646,3206.7
453.1898,3048.4
453.2150,3368.5
453.2404,3251.8
453.2656,3440.3
453.2908,3277.8
453.3160,3267.0
453.3412,3312.7
453.3665,549.3
453.3917,3324.7
453.4169,3092.1
453.4421,3369.9
453.4673,2682.9
453.4925,3454.8
453.5178,3128.1
453.5430,2671.7
453.5683,3418.4
453.5935,2960.5
453.6187,3074.6
453.6439,3085.4
453.6703,702.6
453.6955,2971.4
453.7207,3149.4
453.7460,3370.8
453.7712,3337.0
453.7966,3397.2
453.8219,3174.0
453.8471,3361.8
453.8723,3608.9
453.8976,3296.6
453.9228,3356.7
453.9480,3205.4
453.9732,3327.9
453.9984,2881.0
454.0246,1835.5
454.0500,2070.9
454.0752,3683.0
454.1004,3335.4
454.1257,3176.5
454.1509,3210.3
454.1762,3105.5
454.2014,2878.8
454.2269,3336.1
454.2522,3153.9
454.2775,3386.8
454.3027,3654.3
454.3280,3380.0
454.3542,2382.5
454.3794,1486.4
454.4046,3337.7
454.4298,3258.7
454.4551,3336.5
454.4809,3290.2
454.5062,3086.7
454.5314,3296.6
454.5566,2921.4
454.5818,2920.6
454.6070,3079.2
454.6325,3088.9
454.6577,2826.9
454.6830,482.6
454.7082,3237.3
454.7334,3242.3
454.7589,3339.5
454.7842,3137.0
454.8094,3337.4
454.8346,3614.7
454.8598,3506.5
454.8851,3289.6
454.9103,3361.8
454.9355,3679.7
454.9607,3213.7
454.9860,3404.2
455.0112,3342.2
455.0374,922.0
455.0627,3109.0
455.0879,2618.0
455.1132,3240.5
455.1384,3191.9
455.1636,3197.9
455.1888,3104.4
455.2141,2417.2
455.2393,3480.5
455.2646,3117.9
455.2898,3296.9
455.3150,2424.0
455.3406,1161.8
455.3658,2786.2
455.3911,3560.5
455.4163,3539.8
455.4418,3505.5
455.4671,3554.9
455.4922,3366.4
455.5177,3429.0
455.5429,3089.3
455.5682,3572.0
455.5934,3266.7
455.6189,3286.5
455.6441,3405.6
455.6693,3274.8
455.6945,3547.1
455.7208,2037.0
455.7460,1897.0
455.7713,3468.8
455.7965,3052.6
455.8217,3287.0
455.8469,2970.5
455.8723,3104.7
455.8976,3486.9
455.9228,2954.2
455.9481,3158.3
455.9733,3495.5
455.9985,3198.1
456.0237,3193.8
456.0503,1593.4
456.0759,1731.3
456.1011,3507.6
456.1264,3305.4
456.1516,3310.0
456.1768,3255.5
456.2020,2940.6
456.2273,3301.4
456.2525,2981.9
456.2777,3294.8
456.3030,3144.9
456.3282,3417.1
456.3545,2637.2
456.3797,943.1
456.4049,3178.7
456.4301,3556.7
456.4554,3484.9
456.4806,3302.5
456.5059,3390.8
456.5311,3253.5
456.5564,3261.4
456.5816,3187.7
456.6069,3083.6
456.6321,3565.4
456.6573,3073.6
456.6826,3285.2
456.7078,3024.7
456.7342,1187.5
456.7594,2672.7
456.7847,3311.7
456.8099,2900.4
456.8351,3372.0
456.8603,3195.9
456.8855,2954.5
456.9108,3093.3
456.9360,3295.5
456.9613,3214.0
456.9865,3410.4
457.0117,3514.0
457.0376,2088.2
457.0628,1824.3
457.0880,3449.3
457.1132,3110.4
457.1386,3541.9
457.1639,3129.4
457.1894,3218.1
457.2146,3520.0
457.2398,3060.5
457.2650,3262.7
457.2902,3088.2
457.3154,3059.1
457.3407,2872.5
457.3659,349.5
457.3911,3490.9
457.4163,3099.1
457.4416,2869.0
457.4668,3391.0
457.4920,3315.7
457.5172,3062.2
457.5424,3347.5
457.5677,3255.4
457.5929,3291.0
457.6181,3385.0
457.6433,3332.3
457.6691,2566.6
457.6943,1195.8
457.7196,3363.6
457.7448,3236.4
457.7700,3541.2
457.7952,3193.5
457.8204,3288.8
457.8456,3211.3
457.8712,3434.5
457.8964,2999.0
457.9216,3509.0
457.9469,3223.6
457.9721,3167.6
457.9973,3211.2
458.0230,2328.4
458.0483,1579.0
458.0735,3371.8
458.0987,3107.2
458.1240,3098.5
458.1492,3188.6
458.1745,3383.8
458.1997,2911.1
458.2249,3208.9
458.2502,3004.9
458.2754,3145.8
458.3006,3370.0
458.3258,2417.2
458.3520,1231.8
458.3773,2696.7
458.4029,3486.7
458.4282,3481.7
458.4534,3412.7
458.4786,3373.3
458.5038,3505.7
458.5291,3511.3
458.5543,3370.5
458.5795,3324.1
458.6047,3260.2
458.6299,3319.7
458.6551,3410.1
458.6803,3512.8
458.7056,2248.2
458.7316,1233.6
458.7569,2630.1
458.7821,3614.6
458.8073,3383.5
458.8325,3298.2
458.8577,3452.3
458.8830,3335.5
458.9087,3418.4
458.9339,3347.7
458.9592,3457.7
458.9844,3327.7
459.0096,3522.5
459.0348,3259.0
459.0600,2473.6
459.0861,2997.8
459.1113,871.9
459.1365,3344.6
459.1617,3288.3
459.1869,3500.4
459.2122,3505.1
459.2374,3433.1
459.2629,3606.8
459.2881,3601.3
459.3133,3347.5
459.3385,3660.0
459.3637,3438.6
459.3889,2948.6
459.4141,3491.5
459.4398,2286.7
459.4649,977.1
459.4902,3523.7
459.5154,3389.3
